structure_id,n_atoms,strength,trials,reference_energy,base_prediction,mean_perturbed_energy,std_perturbed_energy,mean_energy_change,std_energy_change,mean_sensitivity,std_sensitivity,mae_from_reference,rmse_from_reference,avg_bond_length,min_bond_length
structure_988,3,9,15,-1555.4137508962986,-1553.4207,-1552.5248,0.3391672,0.8957438,0.3391672,1.2223549412215033,0.46283623115138034,2.8887858,2.9073095,2.674458867129227,2.6050892072631453
structure_722,1,2,15,-1555.4057911442187,-1553.3226,-1553.3224,0.006035298,0.00021158854,0.006035204,0.04319055548774906,0.026949629783292076,2.0833414,2.0833497,2.6904809613069904,2.5454064454277234
structure_722,1,5,15,-1555.4057911442187,-1553.3226,-1553.3524,0.018545335,-0.029907227,0.018545335,0.08249887507884388,0.0403703985554561,2.0532227,2.0533009,2.6904809613069904,2.5454064454277234
structure_722,1,9,15,-1555.4057911442187,-1553.3226,-1553.2312,0.084354386,0.091536455,0.084354386,0.14827877669697423,0.07781802778704398,2.1746664,2.1761928,2.6904809613069904,2.5454064454277234
structure_722,2,2,15,-1555.4057911442187,-1553.3226,-1553.321,0.008716892,0.0016682943,0.00871679,0.05803291250389734,0.04786845778190415,2.084798,2.084815,2.6904809613069904,2.5454064454277234
structure_722,2,5,15,-1555.4057911442187,-1553.3226,-1553.4016,0.07800672,-0.0788737,0.07800672,0.23605797408307458,0.16628822595915524,2.0042562,2.0056727,2.6904809613069904,2.5454064454277234
structure_722,2,9,15,-1555.4057911442187,-1553.3226,-1553.2524,0.15226385,0.07025553,0.15226385,0.1901063738459345,0.11692045397605082,2.1533854,2.1584039,2.6904809613069904,2.5454064454277234
structure_722,3,2,15,-1555.4057911442187,-1553.3226,-1553.318,0.007142417,0.004597982,0.0071422933,0.06112800117077188,0.03873247927403089,2.0877278,2.0877392,2.6904809613069904,2.5454064454277234
structure_722,3,5,15,-1555.4057911442187,-1553.3226,-1553.4391,0.078234404,-0.11645508,0.078234404,0.3311883577913413,0.1548011634312013,1.9666748,1.9681267,2.6904809613069904,2.5454064454277234
structure_722,3,9,15,-1555.4057911442187,-1553.3226,-1553.2582,0.25775996,0.064347334,0.25775996,0.2931685134560411,0.19578635488652027,2.1474771,2.1618671,2.6904809613069904,2.5454064454277234
structure_722,1,2,15,-1555.4057911442187,-1553.3226,-1553.3224,0.006035298,0.00021158854,0.006035204,0.04319055548774906,0.026949629783292076,2.0833414,2.0833497,2.6904809613069904,2.5454064454277234
structure_722,1,5,15,-1555.4057911442187,-1553.3226,-1553.3524,0.018545335,-0.029907227,0.018545335,0.08249887507884388,0.0403703985554561,2.0532227,2.0533009,2.6904809613069904,2.5454064454277234
structure_722,1,9,15,-1555.4057911442187,-1553.3226,-1553.2312,0.084354386,0.091536455,0.084354386,0.14827877669697423,0.07781802778704398,2.1746664,2.1761928,2.6904809613069904,2.5454064454277234
structure_722,2,2,15,-1555.4057911442187,-1553.3226,-1553.321,0.008716892,0.0016682943,0.00871679,0.05803291250389734,0.04786845778190415,2.084798,2.084815,2.6904809613069904,2.5454064454277234
structure_722,2,5,15,-1555.4057911442187,-1553.3226,-1553.4016,0.07800672,-0.0788737,0.07800672,0.23605797408307458,0.16628822595915524,2.0042562,2.0056727,2.6904809613069904,2.5454064454277234
structure_722,2,9,15,-1555.4057911442187,-1553.3226,-1553.2524,0.15226385,0.07025553,0.15226385,0.1901063738459345,0.11692045397605082,2.1533854,2.1584039,2.6904809613069904,2.5454064454277234
structure_722,3,2,15,-1555.4057911442187,-1553.3226,-1553.318,0.007142417,0.004597982,0.0071422933,0.06112800117077188,0.03873247927403089,2.0877278,2.0877392,2.6904809613069904,2.5454064454277234
structure_722,3,5,15,-1555.4057911442187,-1553.3226,-1553.4391,0.078234404,-0.11645508,0.078234404,0.3311883577913413,0.1548011634312013,1.9666748,1.9681267,2.6904809613069904,2.5454064454277234
structure_722,3,9,15,-1555.4057911442187,-1553.3226,-1553.2582,0.25775996,0.064347334,0.25775996,0.2931685134560411,0.19578635488652027,2.1474771,2.1618671,2.6904809613069904,2.5454064454277234
structure_729,1,2,15,-1555.3964318920828,-1553.3087,-1553.3087,0.00659559,-0.00013020834,0.006595585,0.04334040237312705,0.03521887874377128,2.0876384,2.0876482,2.6899122634183734,2.5451640648970333
structure_729,1,5,15,-1555.3964318920828,-1553.3087,-1553.3395,0.014626696,-0.030834962,0.014626608,0.08072665238529439,0.038292804616594935,2.0569336,2.0569823,2.6899122634183734,2.5451640648970333
